#{"t_start": 1790206915.9220726, "env_id": "None"}
r,l,t
-167.251744,105,4010.836687
-128.850665,142,4030.416863
-52.273243,118,4046.709615
-113.809647,135,4064.977287
-52.668504,122,4082.871931
-274.615017,139,4107.99728
250.800781,99,4149.424516
-142.147063,140,4167.641704
258.463634,104,4182.459544
-120.469766,148,4206.640631
-163.780424,124,4255.898943
-112.878229,138,4274.187342
252.155233,101,4287.932284
-154.552157,134,4317.743307
261.076865,100,4331.81941
-170.585112,135,4355.635185
257.63718,103,4372.507533
216.48843,110,4387.862721
251.295497,100,4415.842127
-122.870613,130,4433.053963
261.125304,100,4446.782121
193.440105,120,4463.211683
257.208471,98,4476.77305
213.516354,117,4492.854473
260.28418,99,4506.762968
-118.325041,138,4525.522076
-100.488427,124,4542.112071
211.245366,110,4556.924851
-71.153283,124,4574.783434
-174.2796,133,4592.442283
263.097465,100,4606.580539
-127.479277,137,4625.552518
-52.565711,124,4642.195958
-138.439764,135,4659.999465
264.008118,99,4673.506039
-119.894901,137,4701.728643
-102.547655,122,4718.597807
-122.055595,133,4736.379635
251.054847,101,4750.069234
-179.578729,151,4770.63273
259.735243,100,4805.401853
197.089315,115,4822.27326
-49.376574,122,4840.944547
-177.641141,103,4864.300676
238.252431,100,4878.125859
207.699556,112,4893.018649
249.401812,105,4907.427391
-131.33432,135,4929.95348
259.537776,101,4947.125803
205.648219,115,4966.633282
-118.730986,122,4985.123708
-171.208034,152,5013.165589
249.921739,102,5032.628298
211.752895,117,5057.307985
260.241021,99,5070.838744
-115.305144,137,5088.964563
264.068049,100,5103.385778
146.065132,117,5124.100923
-49.052154,121,5157.345599
-240.085166,140,5176.049706
262.393205,99,5190.208684
-117.628207,132,5207.935475
262.114427,102,5221.763172
-233.705914,112,5238.056354
236.602427,106,5255.798831
207.074515,117,5271.564183
260.649696,99,5288.642964
-186.998299,128,5311.401767
-110.255005,124,5331.855647
-92.343231,132,5353.263372
261.551263,100,5370.740602
193.416227,115,5392.095504
-57.978761,125,5410.396706
201.1142,117,5426.072591
261.626815,101,5441.641677
-104.915936,138,5459.746517
-56.51259,123,5476.596644
-243.202428,131,5493.815784
-98.791215,122,5518.249028
-142.478327,138,5543.343812
225.084667,105,5557.826628
-221.050757,125,5574.546963
-621.416239,200,5604.00954
-119.134987,137,5626.656667
262.083804,98,5640.436735
213.696206,113,5655.586478
253.377012,97,5679.942891
-319.468991,140,5700.692019
262.414312,100,5717.24636
-106.449315,135,5741.993641
263.28841,99,5757.226014
211.060357,109,5773.827877
258.506899,99,5792.373471
-85.173977,129,5809.386123
252.348449,100,5825.425119
-114.196193,142,5846.005212
-333.481523,142,5866.364588
-132.02335,138,5886.111494
-61.627489,121,5902.353302
-264.463249,110,5918.524092
256.829334,101,5932.407676
-101.804566,134,5950.400617
-52.661218,117,5966.534662
-114.371252,140,5986.099663
252.162297,99,6012.571336
-79.608129,130,6034.219059
261.71118,100,6060.408456
218.183052,108,6080.285463
-110.781943,121,6096.837473
198.551255,105,6110.944702
-85.0671,128,6130.52411
-816.801194,200,6159.383346
-57.791299,124,6183.369826
222.225454,115,6205.427812
261.636318,99,6218.933843
-105.537017,127,6236.827281
-50.595034,123,6254.029645
-329.492021,140,6272.58386
-80.075736,121,6297.89416
-133.10622,130,6315.295679
260.227806,101,6329.672389
-102.604855,133,6361.105638
261.367749,100,6374.900709
-121.100803,137,6395.077614
-126.251855,121,6413.569753
-140.940082,138,6431.725383
260.523705,99,6446.820156
206.756008,111,6461.727765
258.555108,101,6476.49061
153.614961,112,6495.892203
262.114619,97,6509.461921
-218.268327,91,6524.239575
260.149931,99,6538.272995
-115.448364,132,6558.532582
261.259416,99,6572.674631
209.775415,113,6587.615818
261.452767,101,6609.917113
-107.324726,132,6636.725286
262.001813,99,6650.254039
216.305371,111,6669.782743
246.662989,101,6683.506458
-102.595654,138,6709.848928
256.578315,103,6726.890071
-140.574126,136,6744.960674
261.58404,100,6781.563531
-99.70909,135,6799.627242
263.3608,99,6812.879641
-259.217099,153,6833.124368
260.245582,101,6851.627461
196.454019,108,6866.399379
-56.880063,121,6884.25177
-135.573481,139,6902.747235
261.109275,99,6916.723692
-116.912813,132,6934.469788
260.47706,97,6947.797223
155.235511,116,6963.818116
251.872583,100,6977.403415
-141.694446,140,7003.521174
261.386725,99,7016.864027
151.605672,116,7034.433531
262.586615,100,7048.161683
-130.355527,144,7069.607882
261.222586,98,7086.961734
-176.46382,139,7105.478463
-53.162707,122,7122.762233
-264.632792,137,7141.006862
262.953934,100,7161.082614
-85.95605,132,7181.254833
-207.506732,115,7206.83737
-123.157335,200,7232.839344
261.531687,100,7252.035772
-149.634778,147,7271.394192
261.259424,99,7286.606889
208.632854,110,7301.697881
260.964677,100,7321.245307
203.286781,109,7336.037845
260.03666,101,7351.713935
-130.532461,138,7370.005039
-134.624662,124,7386.618366
-125.615253,136,7408.487515
-198.52884,135,7427.785832
-116.981728,137,7446.339122
259.455948,100,7460.060637
-148.28606,133,7482.430482
251.266805,99,7506.367007
-98.256746,136,7524.145161
263.03062,99,7537.770299
-179.868766,200,7568.793784
-53.372452,119,7588.637258
-172.136151,141,7609.969579
259.63705,102,7629.350359
-224.609587,143,7654.03744
-64.874883,120,7686.345621
-114.322625,138,7706.787188
261.476398,99,7720.621126
-154.510325,148,7740.294069
-98.560079,123,7757.435648
-370.135265,164,7787.894896
264.156017,99,7804.239503
217.247857,105,7831.495984
257.617843,100,7846.614314
-127.879236,138,7865.46222
-60.90797,123,7888.647947
-107.51872,133,7910.678576
249.654218,101,7924.938214
-124.50181,141,7944.56585
263.067961,98,7958.451924
-98.446427,133,7983.252526
-182.60418,111,7998.806266
-225.819989,160,8025.198021
259.335031,103,8039.423855
-162.3634,150,8059.327199
-187.958147,111,8077.066611
-114.833166,158,8098.878184
-51.3604,124,8116.709933
-116.060236,139,8136.40534
247.7693,100,8150.221581
197.008519,113,8165.319792
237.394008,99,8178.831596
-85.439672,132,8196.404164
264.294604,99,8210.217508
-121.741582,138,8233.857824
260.72402,101,8252.596279
205.068881,115,8267.885808
259.576074,98,8282.250666
181.094759,114,8299.796447
-62.91744,128,8317.36129
-105.162413,133,8335.054335
262.175654,103,8349.46094
206.251174,110,8364.209567
239.328081,103,8379.569453
-96.925315,135,8400.922185
252.792878,96,8421.78885
-87.979484,133,8464.31297
-133.853347,127,8483.050745
-151.322108,140,8501.444297
259.192975,102,8515.423457
-260.981093,138,8534.599428
-81.061716,123,8551.350272
-437.921748,146,8588.146751
249.408795,101,8603.468604
224.346552,116,8645.012678
-74.191795,122,8665.098321
-271.767903,131,8693.613956
262.1556,99,8708.25962
199.034506,120,8745.711337
-98.264495,126,8766.908407
-134.467304,144,8789.362016
243.793772,103,8803.475881
-178.943914,137,8822.490679
-253.27172,127,8842.573747
-131.48484,145,8862.963084
258.995908,103,8878.766511
-241.009781,132,8896.60593
264.300961,98,8910.143789
-345.735348,189,8938.436434
-105.498105,124,8955.524305
-292.425828,150,8981.820635
-203.436668,116,9001.475734
-135.517341,132,9019.136435
-291.070938,127,9036.462677
217.590295,112,9051.596236
-71.838614,126,9079.102391
188.930921,112,9096.915604
-163.386865,129,9114.425198
-230.798429,138,9133.542863
248.960851,101,9147.109415
-146.662389,150,9166.725879
-128.045733,124,9186.452067
